ID,Side,Shape,Approx_dimensions_m,Adjacent_edges,Reference,Reuse,Required_before_model
UP-01-02,R,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.169, ""height"": 0.15}","{""top"": ""UP-00-02.bottom"", ""bottom"": ""UP-02-02.top"", ""left"": ""UP-01-01.right"", ""right"": ""UP-01-03.left""}",upper + assembly,Existing torso cross-section dimensions only; armhole boundary must be split using canonical micro references.,3×3 to 4×4 control grid; shared edge control IDs and weights before welding.
UP-01-03,R,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.169, ""height"": 0.15}","{""top"": ""UP-00-03.bottom"", ""bottom"": ""UP-02-03.top"", ""left"": ""UP-01-02.right"", ""right"": ""UP-01-04.left""}",upper + assembly,Existing torso cross-section dimensions only; armhole boundary must be split using canonical micro references.,3×3 to 4×4 control grid; shared edge control IDs and weights before welding.
UP-01-04,L,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.169, ""height"": 0.15}","{""top"": ""UP-00-04.bottom"", ""bottom"": ""UP-02-04.top"", ""left"": ""UP-01-03.right"", ""right"": ""UP-01-05.left""}",upper + assembly,Existing torso cross-section dimensions only; armhole boundary must be split using canonical micro references.,3×3 to 4×4 control grid; shared edge control IDs and weights before welding.
UP-01-05,L,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.169, ""height"": 0.15}","{""top"": ""UP-00-05.bottom"", ""bottom"": ""UP-02-05.top"", ""left"": ""UP-01-04.right"", ""right"": ""UP-01-06.left""}",upper + assembly,Existing torso cross-section dimensions only; armhole boundary must be split using canonical micro references.,3×3 to 4×4 control grid; shared edge control IDs and weights before welding.
UP-01-06,L,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.169, ""height"": 0.15}","{""top"": ""UP-00-06.bottom"", ""bottom"": ""UP-02-06.top"", ""left"": ""UP-01-05.right"", ""right"": ""UP-01-07.left""}",upper + assembly,Existing torso cross-section dimensions only; armhole boundary must be split using canonical micro references.,3×3 to 4×4 control grid; shared edge control IDs and weights before welding.
UP-01-07,L,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.169, ""height"": 0.15}","{""top"": ""UP-00-07.bottom"", ""bottom"": ""UP-02-07.top"", ""left"": ""UP-01-06.right"", ""right"": ""UP-01-00.left""}",upper + assembly,Existing torso cross-section dimensions only; armhole boundary must be split using canonical micro references.,3×3 to 4×4 control grid; shared edge control IDs and weights before welding.
UP-02-00,R,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.169, ""height"": 0.15}","{""top"": ""UP-01-00.bottom"", ""bottom"": ""UP-03-00.top"", ""left"": ""UP-02-07.right"", ""right"": ""UP-02-01.left""}",upper + assembly,Existing torso cross-section dimensions only; armhole boundary must be split using canonical micro references.,3×3 to 4×4 control grid; shared edge control IDs and weights before welding.
UP-02-01,R,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.169, ""height"": 0.15}","{""top"": ""UP-01-01.bottom"", ""bottom"": ""UP-03-01.top"", ""left"": ""UP-02-00.right"", ""right"": ""UP-02-02.left""}",upper + assembly,Existing torso cross-section dimensions only; armhole boundary must be split using canonical micro references.,3×3 to 4×4 control grid; shared edge control IDs and weights before welding.
UP-02-02,R,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.169, ""height"": 0.15}","{""top"": ""UP-01-02.bottom"", ""bottom"": ""UP-03-02.top"", ""left"": ""UP-02-01.right"", ""right"": ""UP-02-03.left""}",upper + assembly,Existing torso cross-section dimensions only; armhole boundary must be split using canonical micro references.,3×3 to 4×4 control grid; shared edge control IDs and weights before welding.
UP-02-03,R,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.169, ""height"": 0.15}","{""top"": ""UP-01-03.bottom"", ""bottom"": ""UP-03-03.top"", ""left"": ""UP-02-02.right"", ""right"": ""UP-02-04.left""}",upper + assembly,Existing torso cross-section dimensions only; armhole boundary must be split using canonical micro references.,3×3 to 4×4 control grid; shared edge control IDs and weights before welding.
UP-02-04,L,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.169, ""height"": 0.15}","{""top"": ""UP-01-04.bottom"", ""bottom"": ""UP-03-04.top"", ""left"": ""UP-02-03.right"", ""right"": ""UP-02-05.left""}",upper + assembly,Existing torso cross-section dimensions only; armhole boundary must be split using canonical micro references.,3×3 to 4×4 control grid; shared edge control IDs and weights before welding.
UP-02-05,L,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.169, ""height"": 0.15}","{""top"": ""UP-01-05.bottom"", ""bottom"": ""UP-03-05.top"", ""left"": ""UP-02-04.right"", ""right"": ""UP-02-06.left""}",upper + assembly,Existing torso cross-section dimensions only; armhole boundary must be split using canonical micro references.,3×3 to 4×4 control grid; shared edge control IDs and weights before welding.
UP-02-06,L,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.169, ""height"": 0.15}","{""top"": ""UP-01-06.bottom"", ""bottom"": ""UP-03-06.top"", ""left"": ""UP-02-05.right"", ""right"": ""UP-02-07.left""}",upper + assembly,Existing torso cross-section dimensions only; armhole boundary must be split using canonical micro references.,3×3 to 4×4 control grid; shared edge control IDs and weights before welding.
UP-02-07,L,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.169, ""height"": 0.15}","{""top"": ""UP-01-07.bottom"", ""bottom"": ""UP-03-07.top"", ""left"": ""UP-02-06.right"", ""right"": ""UP-02-00.left""}",upper + assembly,Existing torso cross-section dimensions only; armhole boundary must be split using canonical micro references.,3×3 to 4×4 control grid; shared edge control IDs and weights before welding.
UP-03-00,R,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.169, ""height"": 0.15}","{""top"": ""UP-02-00.bottom"", ""left"": ""UP-03-07.right"", ""right"": ""UP-03-01.left""}",upper + assembly,Existing torso cross-section dimensions only; armhole boundary must be split using canonical micro references.,3×3 to 4×4 control grid; shared edge control IDs and weights before welding.
UP-03-01,R,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.169, ""height"": 0.15}","{""top"": ""UP-02-01.bottom"", ""left"": ""UP-03-00.right"", ""right"": ""UP-03-02.left""}",upper + assembly,Existing torso cross-section dimensions only; armhole boundary must be split using canonical micro references.,3×3 to 4×4 control grid; shared edge control IDs and weights before welding.
UP-03-02,R,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.169, ""height"": 0.15}","{""top"": ""UP-02-02.bottom"", ""left"": ""UP-03-01.right"", ""right"": ""UP-03-03.left""}",upper + assembly,Existing torso cross-section dimensions only; armhole boundary must be split using canonical micro references.,3×3 to 4×4 control grid; shared edge control IDs and weights before welding.
UP-03-03,R,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.169, ""height"": 0.15}","{""top"": ""UP-02-03.bottom"", ""left"": ""UP-03-02.right"", ""right"": ""UP-03-04.left""}",upper + assembly,Existing torso cross-section dimensions only; armhole boundary must be split using canonical micro references.,3×3 to 4×4 control grid; shared edge control IDs and weights before welding.
UP-03-04,L,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.169, ""height"": 0.15}","{""top"": ""UP-02-04.bottom"", ""left"": ""UP-03-03.right"", ""right"": ""UP-03-05.left""}",upper + assembly,Existing torso cross-section dimensions only; armhole boundary must be split using canonical micro references.,3×3 to 4×4 control grid; shared edge control IDs and weights before welding.
UP-03-05,L,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.169, ""height"": 0.15}","{""top"": ""UP-02-05.bottom"", ""left"": ""UP-03-04.right"", ""right"": ""UP-03-06.left""}",upper + assembly,Existing torso cross-section dimensions only; armhole boundary must be split using canonical micro references.,3×3 to 4×4 control grid; shared edge control IDs and weights before welding.
UP-03-06,L,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.169, ""height"": 0.15}","{""top"": ""UP-02-06.bottom"", ""left"": ""UP-03-05.right"", ""right"": ""UP-03-07.left""}",upper + assembly,Existing torso cross-section dimensions only; armhole boundary must be split using canonical micro references.,3×3 to 4×4 control grid; shared edge control IDs and weights before welding.
UP-03-07,L,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.169, ""height"": 0.15}","{""top"": ""UP-02-07.bottom"", ""left"": ""UP-03-06.right"", ""right"": ""UP-03-00.left""}",upper + assembly,Existing torso cross-section dimensions only; armhole boundary must be split using canonical micro references.,3×3 to 4×4 control grid; shared edge control IDs and weights before welding.
SLL-00-00,L,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.13, ""height"": 0.213}","{""bottom"": ""SLL-01-00.top"", ""left"": ""SLL-00-03.right"", ""right"": ""SLL-00-01.left""}",upper + assembly ELBOW90/ARMRAISED,Existing sewn loop IDs may be reused after gap/normal checks; sleeve fullness is not accepted.,3×3 to 4×4 control grid; shared edge control IDs and weights before welding.
SLL-00-01,L,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.13, ""height"": 0.213}","{""bottom"": ""SLL-01-01.top"", ""left"": ""SLL-00-00.right"", ""right"": ""SLL-00-02.left""}",upper + assembly ELBOW90/ARMRAISED,Existing sewn loop IDs may be reused after gap/normal checks; sleeve fullness is not accepted.,3×3 to 4×4 control grid; shared edge control IDs and weights before welding.
SLL-00-02,L,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.13, ""height"": 0.213}","{""bottom"": ""SLL-01-02.top"", ""left"": ""SLL-00-01.right"", ""right"": ""SLL-00-03.left""}",upper + assembly ELBOW90/ARMRAISED,Existing sewn loop IDs may be reused after gap/normal checks; sleeve fullness is not accepted.,3×3 to 4×4 control grid; shared edge control IDs and weights before welding.
SLL-00-03,L,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.13, ""height"": 0.213}","{""bottom"": ""SLL-01-03.top"", ""left"": ""SLL-00-02.right"", ""right"": ""SLL-00-00.left""}",upper + assembly ELBOW90/ARMRAISED,Existing sewn loop IDs may be reused after gap/normal checks; sleeve fullness is not accepted.,3×3 to 4×4 control grid; shared edge control IDs and weights before welding.
SLL-01-00,L,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.13, ""height"": 0.213}","{""top"": ""SLL-00-00.bottom"", ""bottom"": ""SLL-02-00.top"", ""left"": ""SLL-01-03.right"", ""right"": ""SLL-01-01.left""}",upper + assembly ELBOW90/ARMRAISED,Existing sewn loop IDs may be reused after gap/normal checks; sleeve fullness is not accepted.,3×3 to 4×4 control grid; shared edge control IDs and weights before welding.
SLL-01-01,L,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.13, ""height"": 0.213}","{""top"": ""SLL-00-01.bottom"", ""bottom"": ""SLL-02-01.top"", ""left"": ""SLL-01-00.right"", ""right"": ""SLL-01-02.left""}",upper + assembly ELBOW90/ARMRAISED,Existing sewn loop IDs may be reused after gap/normal checks; sleeve fullness is not accepted.,3×3 to 4×4 control grid; shared edge control IDs and weights before welding.
SLL-01-02,L,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.13, ""height"": 0.213}","{""top"": ""SLL-00-02.bottom"", ""bottom"": ""SLL-02-02.top"", ""left"": ""SLL-01-01.right"", ""right"": ""SLL-01-03.left""}",upper + assembly ELBOW90/ARMRAISED,Existing sewn loop IDs may be reused after gap/normal checks; sleeve fullness is not accepted.,3×3 to 4×4 control grid; shared edge control IDs and weights before welding.
SLL-01-03,L,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.13, ""height"": 0.213}","{""top"": ""SLL-00-03.bottom"", ""bottom"": ""SLL-02-03.top"", ""left"": ""SLL-01-02.right"", ""right"": ""SLL-01-00.left""}",upper + assembly ELBOW90/ARMRAISED,Existing sewn loop IDs may be reused after gap/normal checks; sleeve fullness is not accepted.,3×3 to 4×4 control grid; shared edge control IDs and weights before welding.
SLL-02-00,L,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.13, ""height"": 0.213}","{""top"": ""SLL-01-00.bottom"", ""left"": ""SLL-02-03.right"", ""right"": ""SLL-02-01.left""}",upper + assembly ELBOW90/ARMRAISED,Existing sewn loop IDs may be reused after gap/normal checks; sleeve fullness is not accepted.,3×3 to 4×4 control grid; shared edge control IDs and weights before welding.
SLL-02-01,L,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.13, ""height"": 0.213}","{""top"": ""SLL-01-01.bottom"", ""left"": ""SLL-02-00.right"", ""right"": ""SLL-02-02.left""}",upper + assembly ELBOW90/ARMRAISED,Existing sewn loop IDs may be reused after gap/normal checks; sleeve fullness is not accepted.,3×3 to 4×4 control grid; shared edge control IDs and weights before welding.
SLL-02-02,L,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.13, ""height"": 0.213}","{""top"": ""SLL-01-02.bottom"", ""left"": ""SLL-02-01.right"", ""right"": ""SLL-02-03.left""}",upper + assembly ELBOW90/ARMRAISED,Existing sewn loop IDs may be reused after gap/normal checks; sleeve fullness is not accepted.,3×3 to 4×4 control grid; shared edge control IDs and weights before welding.
SLL-02-03,L,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.13, ""height"": 0.213}","{""top"": ""SLL-01-03.bottom"", ""left"": ""SLL-02-02.right"", ""right"": ""SLL-02-00.left""}",upper + assembly ELBOW90/ARMRAISED,Existing sewn loop IDs may be reused after gap/normal checks; sleeve fullness is not accepted.,3×3 to 4×4 control grid; shared edge control IDs and weights before welding.
SLR-00-00,R,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.13, ""height"": 0.213}","{""bottom"": ""SLR-01-00.top"", ""left"": ""SLR-00-03.right"", ""right"": ""SLR-00-01.left""}",upper + assembly ELBOW90/ARMRAISED,Existing sewn loop IDs may be reused after gap/normal checks; sleeve fullness is not accepted.,3×3 to 4×4 control grid; shared edge control IDs and weights before welding.
SLR-00-01,R,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.13, ""height"": 0.213}","{""bottom"": ""SLR-01-01.top"", ""left"": ""SLR-00-00.right"", ""right"": ""SLR-00-02.left""}",upper + assembly ELBOW90/ARMRAISED,Existing sewn loop IDs may be reused after gap/normal checks; sleeve fullness is not accepted.,3×3 to 4×4 control grid; shared edge control IDs and weights before welding.
SLR-00-02,R,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.13, ""height"": 0.213}","{""bottom"": ""SLR-01-02.top"", ""left"": ""SLR-00-01.right"", ""right"": ""SLR-00-03.left""}",upper + assembly ELBOW90/ARMRAISED,Existing sewn loop IDs may be reused after gap/normal checks; sleeve fullness is not accepted.,3×3 to 4×4 control grid; shared edge control IDs and weights before welding.
SLR-00-03,R,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.13, ""height"": 0.213}","{""bottom"": ""SLR-01-03.top"", ""left"": ""SLR-00-02.right"", ""right"": ""SLR-00-00.left""}",upper + assembly ELBOW90/ARMRAISED,Existing sewn loop IDs may be reused after gap/normal checks; sleeve fullness is not accepted.,3×3 to 4×4 control grid; shared edge control IDs and weights before welding.
SLR-01-00,R,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.13, ""height"": 0.213}","{""top"": ""SLR-00-00.bottom"", ""bottom"": ""SLR-02-00.top"", ""left"": ""SLR-01-03.right"", ""right"": ""SLR-01-01.left""}",upper + assembly ELBOW90/ARMRAISED,Existing sewn loop IDs may be reused after gap/normal checks; sleeve fullness is not accepted.,3×3 to 4×4 control grid; shared edge control IDs and weights before welding.
SLR-01-01,R,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.13, ""height"": 0.213}","{""top"": ""SLR-00-01.bottom"", ""bottom"": ""SLR-02-01.top"", ""left"": ""SLR-01-00.right"", ""right"": ""SLR-01-02.left""}",upper + assembly ELBOW90/ARMRAISED,Existing sewn loop IDs may be reused after gap/normal checks; sleeve fullness is not accepted.,3×3 to 4×4 control grid; shared edge control IDs and weights before welding.
SLR-01-02,R,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.13, ""height"": 0.213}","{""top"": ""SLR-00-02.bottom"", ""bottom"": ""SLR-02-02.top"", ""left"": ""SLR-01-01.right"", ""right"": ""SLR-01-03.left""}",upper + assembly ELBOW90/ARMRAISED,Existing sewn loop IDs may be reused after gap/normal checks; sleeve fullness is not accepted.,3×3 to 4×4 control grid; shared edge control IDs and weights before welding.
SLR-01-03,R,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.13, ""height"": 0.213}","{""top"": ""SLR-00-03.bottom"", ""bottom"": ""SLR-02-03.top"", ""left"": ""SLR-01-02.right"", ""right"": ""SLR-01-00.left""}",upper + assembly ELBOW90/ARMRAISED,Existing sewn loop IDs may be reused after gap/normal checks; sleeve fullness is not accepted.,3×3 to 4×4 control grid; shared edge control IDs and weights before welding.
SLR-02-00,R,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.13, ""height"": 0.213}","{""top"": ""SLR-01-00.bottom"", ""left"": ""SLR-02-03.right"", ""right"": ""SLR-02-01.left""}",upper + assembly ELBOW90/ARMRAISED,Existing sewn loop IDs may be reused after gap/normal checks; sleeve fullness is not accepted.,3×3 to 4×4 control grid; shared edge control IDs and weights before welding.
SLR-02-01,R,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.13, ""height"": 0.213}","{""top"": ""SLR-01-01.bottom"", ""left"": ""SLR-02-00.right"", ""right"": ""SLR-02-02.left""}",upper + assembly ELBOW90/ARMRAISED,Existing sewn loop IDs may be reused after gap/normal checks; sleeve fullness is not accepted.,3×3 to 4×4 control grid; shared edge control IDs and weights before welding.
SLR-02-02,R,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.13, ""height"": 0.213}","{""top"": ""SLR-01-02.bottom"", ""left"": ""SLR-02-01.right"", ""right"": ""SLR-02-03.left""}",upper + assembly ELBOW90/ARMRAISED,Existing sewn loop IDs may be reused after gap/normal checks; sleeve fullness is not accepted.,3×3 to 4×4 control grid; shared edge control IDs and weights before welding.
SLR-02-03,R,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.13, ""height"": 0.213}","{""top"": ""SLR-01-03.bottom"", ""left"": ""SLR-02-02.right"", ""right"": ""SLR-02-00.left""}",upper + assembly ELBOW90/ARMRAISED,Existing sewn loop IDs may be reused after gap/normal checks; sleeve fullness is not accepted.,3×3 to 4×4 control grid; shared edge control IDs and weights before welding.
COL-00-00,R,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.07, ""height"": 0.082}","{""left"": ""COL-00-07.right"", ""right"": ""COL-00-01.left""}",assembly neckline,Candidate neck opening and base rig dimensions may be reused; small collar arc surface needs micro reference.,3×3 to 4×4 control grid; shared edge control IDs and weights before welding.
COL-00-01,R,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.07, ""height"": 0.082}","{""left"": ""COL-00-00.right"", ""right"": ""COL-00-02.left""}",assembly neckline,Candidate neck opening and base rig dimensions may be reused; small collar arc surface needs micro reference.,3×3 to 4×4 control grid; shared edge control IDs and weights before welding.
COL-00-02,R,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.07, ""height"": 0.082}","{""left"": ""COL-00-01.right"", ""right"": ""COL-00-03.left""}",assembly neckline,Candidate neck opening and base rig dimensions may be reused; small collar arc surface needs micro reference.,3×3 to 4×4 control grid; shared edge control IDs and weights before welding.
COL-00-03,R,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.07, ""height"": 0.082}","{""left"": ""COL-00-02.right"", ""right"": ""COL-00-04.left""}",assembly neckline,Candidate neck opening and base rig dimensions may be reused; small collar arc surface needs micro reference.,3×3 to 4×4 control grid; shared edge control IDs and weights before welding.
COL-00-04,L,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.07, ""height"": 0.082}","{""left"": ""COL-00-03.right"", ""right"": ""COL-00-05.left""}",assembly neckline,Candidate neck opening and base rig dimensions may be reused; small collar arc surface needs micro reference.,3×3 to 4×4 control grid; shared edge control IDs and weights before welding.
COL-00-05,L,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.07, ""height"": 0.082}","{""left"": ""COL-00-04.right"", ""right"": ""COL-00-06.left""}",assembly neckline,Candidate neck opening and base rig dimensions may be reused; small collar arc surface needs micro reference.,3×3 to 4×4 control grid; shared edge control IDs and weights before welding.
COL-00-06,L,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.07, ""height"": 0.082}","{""left"": ""COL-00-05.right"", ""right"": ""COL-00-07.left""}",assembly neckline,Candidate neck opening and base rig dimensions may be reused; small collar arc surface needs micro reference.,3×3 to 4×4 control grid; shared edge control IDs and weights before welding.
COL-00-07,L,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.07, ""height"": 0.082}","{""left"": ""COL-00-06.right"", ""right"": ""COL-00-00.left""}",assembly neckline,Candidate neck opening and base rig dimensions may be reused; small collar arc surface needs micro reference.,3×3 to 4×4 control grid; shared edge control IDs and weights before welding.
COW-00-00,R,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.175, ""height"": 0.068}","{""bottom"": ""COW-01-00.top"", ""left"": ""COW-00-07.right"", ""right"": ""COW-00-01.left""}",assembly neckline + cape-v2,"Candidate cowl folds/contacts failed; retain only inner neck interface, redraw each fold strip from new references.",3×3 to 4×4 control grid; shared edge control IDs and weights before welding.
COW-00-01,R,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.175, ""height"": 0.068}","{""bottom"": ""COW-01-01.top"", ""left"": ""COW-00-00.right"", ""right"": ""COW-00-02.left""}",assembly neckline + cape-v2,"Candidate cowl folds/contacts failed; retain only inner neck interface, redraw each fold strip from new references.",3×3 to 4×4 control grid; shared edge control IDs and weights before welding.
COW-00-02,R,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.175, ""height"": 0.068}","{""bottom"": ""COW-01-02.top"", ""left"": ""COW-00-01.right"", ""right"": ""COW-00-03.left""}",assembly neckline + cape-v2,"Candidate cowl folds/contacts failed; retain only inner neck interface, redraw each fold strip from new references.",3×3 to 4×4 control grid; shared edge control IDs and weights before welding.
COW-00-03,R,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.175, ""height"": 0.068}","{""bottom"": ""COW-01-03.top"", ""left"": ""COW-00-02.right"", ""right"": ""COW-00-04.left""}",assembly neckline + cape-v2,"Candidate cowl folds/contacts failed; retain only inner neck interface, redraw each fold strip from new references.",3×3 to 4×4 control grid; shared edge control IDs and weights before welding.
COW-00-04,L,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.175, ""height"": 0.068}","{""bottom"": ""COW-01-04.top"", ""left"": ""COW-00-03.right"", ""right"": ""COW-00-05.left""}",assembly neckline + cape-v2,"Candidate cowl folds/contacts failed; retain only inner neck interface, redraw each fold strip from new references.",3×3 to 4×4 control grid; shared edge control IDs and weights before welding.
COW-00-05,L,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.175, ""height"": 0.068}","{""bottom"": ""COW-01-05.top"", ""left"": ""COW-00-04.right"", ""right"": ""COW-00-06.left""}",assembly neckline + cape-v2,"Candidate cowl folds/contacts failed; retain only inner neck interface, redraw each fold strip from new references.",3×3 to 4×4 control grid; shared edge control IDs and weights before welding.
COW-00-06,L,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.175, ""height"": 0.068}","{""bottom"": ""COW-01-06.top"", ""left"": ""COW-00-05.right"", ""right"": ""COW-00-07.left""}",assembly neckline + cape-v2,"Candidate cowl folds/contacts failed; retain only inner neck interface, redraw each fold strip from new references.",3×3 to 4×4 control grid; shared edge control IDs and weights before welding.
COW-00-07,L,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.175, ""height"": 0.068}","{""bottom"": ""COW-01-07.top"", ""left"": ""COW-00-06.right"", ""right"": ""COW-00-00.left""}",assembly neckline + cape-v2,"Candidate cowl folds/contacts failed; retain only inner neck interface, redraw each fold strip from new references.",3×3 to 4×4 control grid; shared edge control IDs and weights before welding.
COW-01-00,R,"one shallow curved quad, at most one primary fold/crease","{""width"": 0.175, ""height"": 0.068}","{""top"": ""COW-00-00.bottom"", ""bottom"": ""COW-02-00.top"", ""left"": ""COW-01-07.right"", ""right"": ""COW-01-01.left""}",assembly neckline + cape-v2,"Candidate cowl folds/contacts failed; retain only inner neck interface, redraw each fold strip from new references.",3×3 to 4×4 control grid; shared edge control IDs and weights before welding.
